
lau,bintang 5,sdh terima sambel nya  ya enak sekali  thx
M***a,bintang 5,cocok bgt d mulut... endeesss pedesnya...
dhey,bintang 5,mantap....ga bocor lagi..klo rasa emang bikin nagih se
F***n,bintang 5,sudah lama pengen coba dan ternyata enak
Bani,bintang 5,"pesanan sdh sampai, belum dicoba. Semoga enak"
Dendhy,bintang 5,josss
Syaiful,bintang 2,"minyak nya menyebar dalam paket, Karena ada yg bocor"
Filzanaadhl,bintang 5,ENDULLLL
N***a,bintang 5,bikin nagih sih ini
Niko,bintang 5,kurang asin sedikit
W***i,bintang 1,"pembelian yang sekarang cukup kecewa karena tgl expnya dekat banget ga sampai sebulan, padahal udah beli beberapa kali, ini saya beli 3 loh ukuran 200gr niat buat nyetok..."
i***n,bintang 5,sdh trima blm coba cepettt yaaaa
hendry,bintang 5,nice
Siti,bintang 5,No review text
P***t,bintang 5,"Repeat order krn rasany enak, tp akan mkin enk lg klo cuminya lbh diperbanyak"
r***n,bintang 5,"rasanya enak, pedas, cuminya banyak"
ANDIKA,bintang 5,Rasane mak nyosssssssss
M***h,bintang 5,enak bgt. pembelian pertama langsung enak bgt. Rasanya pedes bgt sih.
Totok,bintang 5,mantab..
gigih,bintang 5,Mantappp sambelnyaa Josss
dhey,bintang 5,mantap lah toko ini....bertanggung jawab full
L***a,bintang 5,"krn terlalu pedas buat saya, jd saya kurang menikmati rasanya, sampai saya goreng lagi dan ditambah gula....sptnya yg varian cumi ini yg paling pedas diantara sambal lain..."
Wita,bintang 5,"Enak seperti biasa, udah repeat order yg ke 5x malah mau stok buat nanti puasa"
Dhent,bintang 1,No review text
Nabila,bintang 5,mantap
Nabila,bintang 5,mantap
Pieter,bintang 5,enak
n***p,bintang 5,"Datengnya cepet banget Alhamdulillah aku seneng bangett👍 Thanks kurir & seller..
Rasa sambal cuminya enak kyk rasa masakan rumahan. Lumayan pricey ya krn sedih cumin..."
Anisa,bintang 5,harusnya ditambah sama buble wrap jd td menyebabkan bocor
H***y,bintang 4,Terlalu pedas buat saya...
R***i,bintang 4,pedes doang rasa biasa aja.
R***a,bintang 5,sambel super uenak yang cuman pke nasi putih sama lalapan wes mantaps makannya.. tapi emang pedes dan harus hati-hati makannya kalau punya maag yaaa
A***a,bintang 5,"sambelmya enak, cuma sayang cumi nya dikit, tp so far enak bangt"
n***d,bintang 5,"enak sih, tapi pedes banget gak kuat. apalagi buat yang punya maag, gak cocok menurutku. cumi nya dikit terus agak kecil :( but buat yang suka pedes, nampol banget sih in..."
Dian,bintang 5,👍👍👍👍👍
Arfin,bintang 5,"enak...pas di lidah, harga terjangkau n pengiriman cepat"
F***h,bintang 5,Enaaaaaakkkk
V***i,bintang 5,Pertama kali coba beli  asli sambel cumi mantaap banget pedasnya
Dede,bintang 2,Engga enak untuk harga segini
r***a,bintang 5,"ok, tapi bae bae kepedesan"
fariz,bintang 5,sambalnya asli mantap
Dyah,bintang 5,"kemasan ok bgt anti bocor, kekinian. semoga rasanya nikmat dan bisa jd favorit keluarga."
g***e,bintang 5,"Pedas mantap, selalu jd andalan saat dibawa ke luar negeri, repeat order terussss"
G***i,bintang 5,sesuai dengan deskripsi..ini pembelian yang kesekian kali anak saya suka.
Vendy,bintang 5,Pembelian ke dua dan langsung yg besar..karena enak banget!
zaitun,bintang 5,ini sambelnya eeenaakk tenan juaraaa👌
Hafiz,bintang 5,Enak banget
B***i,bintang 5,pengirimannya cpt bngt..sambelnya enakkk
Anita,bintang 5,enak pedes.. cepet nyampe mantul
N***g,bintang 4,"Packingannya bagus, cuminya banyak, cepat sampenya. tapi minyaknya agak kebanyakan sama agak asin. awalnya mikirnya bakal habis lama tapi pas nyampe tadi pagi sekarang ud..."
R***n,bintang 5,Mantepp banget.. Dijamin jadi langganan
Heriadi,bintang 5,No review text
R***y,bintang 3,cumi nya agak kurang nendang
A***a,bintang 5,Mantappppp
Rusli,bintang 5,Mantap
Ka,bintang 4,b aja
R***n,bintang 5,"utk rasa udh g ragu Lg lah.. Joss gandoss.. sayang pengiriman seperti'y dilempar2.. plastik luar kotor, dus penyok n basah, minyak tumpah semua... sayang bngt... seal..."
C***a,bintang 5,anak saya suka bgt..
Ayomi,bintang 5,sambalnya enak dan mantaap
Dwi,bintang 5,super enak
Kevin,bintang 5,"produk telah diterima dengan keadaan baik, sesuai deskripsi produk, packing baik dan tidaj ada kendala dalam pengiriman. terima kasih."
O***e,bintang 5,"packing sangat aman, rasana pas, anak sangat suka, terima kasih"
rully,bintang 5,pengiriman cpat sampai. rasanyaa mantaap.
Wita,bintang 5,udah berkali2 order dan selalu ok👍
Arum,bintang 3,Ku kira home made... taunya mengandung pengawet juga. Untuk sekali2 bolehlah kalau keseringan enggak.
Rizky,bintang 5,"Mantap rasanya, pengiriman juga cepat"
Fahmi,bintang 5,enak tapi kurang pedes hehe
M***l,bintang 3,ok
Renno,bintang 5,"sudah berulang kali repeat order. prosesnya cepat,sambelnya mantab dan agannya ramah."
Irhand,bintang 5,"Rasa sambel cumi ciamiknya enak pedasnya pas gak berlebihan, cumi didalam sambalnya pun menurut saya lumayan banyak. Dan terakhir kemasannya menarik."
Mahar,bintang 3,pedasnya pas.. tapi cuminya kurang kerasa..
badar,bintang 5,bikin nagih muantap poll
Y***n,bintang 5,lumayan mahal sih tp
A***O,bintang 5,sambel nya bicor
d***d,bintang 5,enak bangett
Eviriana,bintang 5,"Packaging rapi. Pesanan cepat sampai, padahal ditulis nya Pre-order 2 minggu."
dinda,bintang 2,"pengiriman lama, seller kurang teliti, barang sudah hilang diekspedisi dr tgl 2. baru  diFU pas ditanya kenapa ga dikirim kirim. kapok 😒"
F***a,bintang 5,👍👍👍
G***i,bintang 5,diterima dalam keadaan baik dan sesuai dengan deskripsi produk. terimakasih . anak saya suka banget
Cahyaningsih,bintang 5,alhamdulillah cocok di lidah saya
Refildo,bintang 2,"Pertama dan terakhir kali beli. Sambelnya pedes doang, gak ada rasa lain selain pedes, cumi potongannya kecil dan dikit.
Bukan mau jatohin, awal pertama beli langsung mes..."
Memey,bintang 5,pengiriman cepat
Fathan,bintang 5,Enak sambelnya walaupun dapet cuminya dikit
Irma,bintang 5,"super enaak, sekali cb lngsng ketagihan, order yg kedua"
febriansyah,bintang 5,cuminya tidak asin tapi sambelnya juga nggk pedas wkwk
M***n,bintang 5,"PRODUK INI KURANG!!! KURANG KALO BELINYA CUMAN 1... Enak banget, ngabisin nasi..."
Yenni,bintang 5,sambel nya super enak
G***y,bintang 1,Kata Mba Dirumah Packaging Bocor . Minyak Kemana mana . Sampe Paket2 nya semua berminyak .
D***q,bintang 2,No review text
rahmawati,bintang 5,enak dari dlu nyobain trus yg rasa ini..juaraaaa
Fath,bintang 5,Packaging sih bagus cuman ada yg bocor jadi licin berminyak semua.
Hamdi,bintang 5,enak
Tulus,bintang 5,enak nampol abis
h***n,bintang 5,terima kasih barang bagus
Irfan,bintang 5,proses & pengirimanya cepet...barangya juga sesuai...packing & kemasanya bagus..bgt...
Dzulhidwanda,bintang 5,"Sampai lebih cepat d luar ekspektasi. sambil nya sangat enak, recomended. tidak mengecawakan."
Abdul,bintang 5,"sambalnya mantap. responnya luar biasa, dapet kemasan bocor diganti dengan yang baru, terimakasih"
Martin,bintang 5,"Pengiriman cepat, produk jos"
Guruh,bintang 5,supeeeer enaaak
Utis,bintang 5,mantap pedasnya ....enak rasanya cuman sedikit asin
Leonie,bintang 5,"sambelnya cocok dilidah, mantap jaya .. anak saya ketagihan .. nanti coba resep yg lain yaa .."
A***e,bintang 5,Josss
Abdull,bintang 5,Pedese lumayann🔥
Riski,bintang 5,"ENAK! pedasnya cukup ngagetin di lambung. saya kira promag cuma buat strategi marketing, ternyata beneran butuh:("
arsilla,bintang 5,No review text
Rizka,bintang 3,agak kurang manis
Muhammad,bintang 5,"Kayaknya enak,  belum dirasa soale"
zaki,bintang 4,"Menurut saya rasanya enak yg biasa saja, jika dilihat dari video saya mengira akan menemukan rasa yg spesial, mungkin ekspektasi saja yg terlalu tinggi"
m***d,bintang 5,catatan aja untuk packing nya di perkuat lagi karena ada sambel cumi yang gede minyak nya keluar semua sampe tembus ke box luar nya
Achmad,bintang 5,"Belum di coba, tapi kelihatannya enak, packing rapih sangat, pengiriman cepat, dan dapat promag cair, entah buat apa, tapi yasdahlah. Alhamdulillah.."
Alvin,bintang 5,"Kacau sih, katanya PO, masa langsung di kirim hari itu juga, mantap deh pokoknya ☺😘😘"
Ahmad,bintang 5,"pengiriman cepat,dpt bonus promag herbal"
R***I,bintang 5,Ok
D***i,bintang 5,No review text
Kolafah,bintang 1,No review text
Audi,bintang 5,good
Oriz,bintang 5,mantabbb
Lubna,bintang 5,"pedas nya mantap👍,rasa nya enak, potongan cumi nya pas"
R***a,bintang 5,"sambalnya enak mantap, suka pokoknya 🤩💗!!
kemasannya aman bngt, pengirimannya juga cepat, terimakasih 🙏🏻💗!"
A***l,bintang 5,enak
Y***a,bintang 5,"pedas nya mantap, tambah cuminya juga legit 👌🏻"
B***i,bintang 5,Enakk..
Miko,bintang 5,ini juara sih!!!! bakal order lagi nanti !
